Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
495,CfWI staff TUPEd to the Department and provision of life assurance,2012-12-01,2033-03-31,"£358,477.00",< £1m,5% to 10%,0,No,0,Uncertain Cost - Uncertain Cost,Individual or Household,Section T,Section N,No Exposure to Listed Risks,Quantifiable,,"The TUPE terms will last for as long as the individuals remain in the role that they transferred into when they joined DHSC.

The Department would only need to fund a payment of 1x annual salary, in the event of a death in service of any of these transferees (with the other 2x salary payment being by My CSP, from central funds as part of the scheme attached to the Alpha Pension scheme). This information, along with updated salaries provided used to update value.                                                                                                                23/4/20 - Stephen Balchin confirmed no changes 

16/01/19 - Emma Mortimer                                                                                               23/4/20 - Stephen Balchin confirmed no changes.  Limited update provided. To obtain further deails.  Update from Debbie Lill FBP.      As at 31 March 21 - value of liability recalculated for staff who remain in the department

21/2 YE- As far as the DD was aware this still existsed, however there was a question over if the responsibility should still sit with them or in more of a HR type space. Stephen has very few details about this. 1 individual who was part of the 16 staff who transferred over has moved to another team in the same directorate, another has moved elsewhere in DHSC and 1 person has left DHSC. Therefore this is likely to reduce the value on the contingent liability for the individual who has left although Stepehn was not aware of how much that would be as he didn't have the details of what makes up the contingent liability.
The question was should Stephen be expected to track individuals once they leave his team or should this sit in more of a HR space to track individuals",Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.05,0.075,0.1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",20.33,10, £-   ," £50,000.00 "," £100,000.00 "," £26,885.77 "
496,Injury Benefit Scheme,2013-03-01,2038-03-31,"£400,000.00",< £1m,25% to 50%,0,No,0,Uncertain Cost - Uncertain Cost,Individual or Household,Section T,Section N,No Exposure to Listed Risks,Quantifiable,,"I can confirm that there has been no change to the contingent liability since June €“ that is to say that we have had no further claims payable from this contingent fund since 2011.  The remaining liability, however, should there be further claims is c. £2.35million.

Julie Murphy 11/09/18                                                                                                       Conversation with John Douglas - 28/4/20.  Update provided on 19/20 excercise to review cases, planned work in 20/21, estimate of value of liability as at 31/3/20 and assesment as to whether remote.                                                                                 11/1/21 - confirmation from Gareth Probate still existsWe have not asked the BSA to perform an updated LEAP exercise to contact all potential claimants, as they have outlined the limitations that would prevent them from doing this accurately. However, some of the potential claimants may also be members of the NHS Pension Scheme. The BSA should have more up to date contact information for these people, so may be able to data match between the IB caseload and Pension Scheme membership to identify and contact potential claimants. This won€™t change the value of the liability as at 31st March 2021.

It may be more likely that we can put claims into payment where people are also Pension Scheme members because BSA are more likely to have up to date contact details for these people. Potential claimants who are not Pension Scheme members are less likely to have their benefits put into payment as BSA have no way of contacting them.

It might be best for BSA to reassess the likelihood of claims coming forward once they have done the data matching with Pension Scheme records  €¢Adam Stuart update 5/5/21 	€œAny changes in respect of the liability?  From reading the emails and attachment, a further exercise to contact beneficiaries had been considered. On legal advice, the Department was not obligated to carry out a further exercise, given we have met our administrative obligations. Has any other activity taken place since March 20 that would affect the liability? No €“ not that I am aware that would influence the position",Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",25.08,15, £-   ," £33,000.00 "," £67,000.00 "," £150,000.00 "
497,Indemnify MHRA for the cost of damages awarded in litigation,2017-02-01,2067-01-31,£0.00,< £1m,1% to 5%,0,No,0,Indemnity - Inter-Public Sector Indemnity,Central Government,UK Government,Section Q,No Exposure to Listed Risks,Unquantifiable,Remote Core,"Previous live cases removed from GLD risk register.

29/03/19 - Paul Betts                                                                                                       5/5/20 - Review of GLD Risk Register and MHRA cases as at 31 March with Paul Betts. Confirmed contingent libility still exists.This is an open ended commitment from DHSC in respect of any liability against MHRA. The DHSC acknowledge their liability to cover the MHRA on damages resulting from Litigation.  Although dated June 2007, nothing has changed that would invalidate this cover. In relation to ongoing legal costs, these are routinely  met by the MHRA.                                             Dunia Alameddine - Just like the other liability, this remains an open ended commitment and to the best of my knowledge there have been no changes                                                                                                                                                                                                                                                    Ronan McDonald - I have spoken with MHRA who are not aware of any further upcoming cases, which means this risk continues to be unquantifiable and remote.

21/22 YE - Paul Winslow was asked for an update which he provided on 10/03/2022. His update was an email from Ronan McDonald dated 29/11/2021 in which he attached the latest position from MHRA. There doesn't appear to be any change in respect of the liability.

Further update from email correspondence dated 29/04/2022 between Paul Winslow & FBP Robert Steels which seems to confirm no change in position.

7/7/23 - MHRA Legal Risks Table received from Rose Braithwate at MHRA",Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",50,43.84, £-   ," £11,000.00 "," £23,000.00 ", £-   
498,Legal case brough against the DHSC by the affected,2017-11-01,2067-10-31,£0.00,< £1m,1% to 5%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section T,Section Q,Increased Legal Liability Costs,Unquantifiable,Remote Core,"Stage: Court approved a Group litigation order on 27.10.2017.  Since then ongoing correspondence, case management hearings re procedure.

Next Milestone: Stay for the duration of the Infected Blood Inquiry agreed by consent order dated 30th November 2018.

29/03/19 - Paul Betts                                                                                                                     28/4/20 - From GLD Risk Register - Potential Claim stayed pending outcome of Infected Blood Enquirey - No change.   The cases remain stayed pending the outcome of the Inquiry. The Inquiry is due to report in 2022.                                      11/2/21 - update from H Causeley - Inquirey ongoing.  Cases stayed, no changes     13/4/21 - update from Helen Hamilton - cases stayed until Inquirey concludes.  No change

09/05/2022 - I can confirm that there is no change in the position and both remain stayed until the conclusion of the Infected Blood Inquiry.

",Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",50,44.58, £-   ," £11,000.00 "," £22,000.00 ", £-   
499,Legal case brough against the DHSC by the HeP C Infected beneficiaries under Equality Act ,2017-11-01,2067-10-31,£0.00,< £1m,1% to 5%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section T,Section Q,Increased Legal Liability Costs,Unquantifiable,Remote Core,"Stage: Claim served 12/02/17. Generic Particulars of claim served 2nd October 2018. Now over 300 claimants but it is not clear if all have a valid claim.

Next Milestone: Stay for the duration of the Infected Blood Inquiry agreed by consent order dated 15th March 2019.

29/03/19 - Paul Betts                                                                                                                                  28/4/20 - From GLD Risk Register - potential claim stayed pending outcome of Infected Blood Enquirey.  No change.  The cases remain stayed pending the outcome of the Inquiry. The Inquiry is due to report in 2022.                                   11/2/21 - update from H Causeley - Inquirey ongoing.  Cases stayed, no changes     13/4/21 - update from Helen Hamilton - cases stayed until Inquirey concludes.  No change

09/05/2022 - I can confirm that there is no change in the position and both remain stayed until the conclusion of the Infected Blood Inquiry.",Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",50,44.58, £-   ," £11,000.00 "," £22,000.00 ", £-   
500,Pension liabilities ,2017-12-01,2067-11-30,£0.00,£5m to £10m,25% to 50%,0,No,0,Guarantee - Pension Guarantee,Individual or Household,Section T,Section N,No Exposure to Listed Risks,Unquantifiable,,"Based on the report commissioned by PWC the contingent liability (based on the net assets and liabilities on the SoFP at 31 March 2017) would be approx. £15.6m €“ this is the expected liability in excess of the £72.1m provision reported at 31 March 2017. However, it should be noted that this only relates to 15 of the 16 LGPS in which CQC has active membership and does not include an estimate for Teesside Pension Funds €“ the largest fund by CQC active membership which is currently in excess of 350 members of staff and cessation is not expected to crystallise in the short/medium term.

Contributions paid by CQC include both contributions as a percentage of payroll and lump sum deficit payments €“ these are set on a triennial basis, the last of which was in 2016, and were set by each fund to recover the deficit over a 3-7 year period.

A contingent liability will ensure that CQC continues to report its pension deficit provision in accordance with the FReM but also gives consideration for the potential liabilities that may be incurred in excess of this deficit provision in the event of cessation ahead of the net deficit being recovered through normal contributions. 

03/01/19 - Stuart Mumford                                                                                                                                                                                                                                                                                                                                                 As at 7/5/20, no response received from business lead or sponsorship team.  Will continue to chase.  Disclosed as remore given this liability has existed for three years and was classfied as remote in 18/19 accounts. Will reassess when response received. The most likely trigger for the liability to crystallise is when the last active member ceases participation in the fund i.e. when the individual leaves employment with CQC. All funds are closed to new members.   Surrey Pension Fund Update: We had the last member of the scheme leaving CQC on the grounds of retirement in September 2019. We are expecting the assessment of the cessation value from the fund actuary imminently. There are no other changes to the best of my knowledge as of today.                                                                                                                         Update 12/1/21 - still exist but a a ccessation event expected 31/1/21.            Update from Stuart Mumford - During 2020/21 membership in one of our funds ceased resulting in a liability of £2.3m, leaving membership in 14 funds. 

21/22 YE - Membership in 1 x fund ceased in April 2022 - this liability had been accounted for at 31 March 2021 as a provision. Payment of £2.3m made following cessation funded by GIA from DHSC.

No known cessation events as at the current date or changes to previous notification.",Ongoing,G,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.25,0.375,0.5,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",50,44.67," £112,000.00 "," £168,000.00 "," £224,000.00 ", £-   
501,Existing Liability Scheme (ELS) to bring the liabilities into Gov if MDO ,2020-03-01,2070-02-28,"£1,000,000,000.00",> £500m,25% to 50%,0,No,0,Indemnity - Insurer of Last Resort,Other Public Body,Section T,Section Q,No Exposure to Listed Risks,Quantifiable,,"See ""Description"" column G

21/22 YE - No update to the value, it's confidentiality or remoteness - this all remains the same. 
During 21/22 it has not been possible to agree terms with the relevant Medical Defence Organisations (MDO) to transfer the liabilities to government. Ministers have, in the course of the year, agreed to continue to engage with the MDO but will only reopen commercial discussions if the MDO makes a substantial movement on price. During the course of the year the MDO withdrew it€™s 2 year judicial review claim against the department",Ongoing,G,2023,Core," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",0.25,0.375,0.5,Public,£100m to £500m,> £500m," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",50,46.91," £10,659,000.00 "," £26,647,000.00 "," £42,635,000.00 "," £375,000,000.00 "
502,Indemnity to Essex inquiry,2022-02-01,2025-01-31,£0.00,£1m to £5m,< 1%,0,No,0,Indemnity - Appointment Indemnity,Individual or Household,Section T,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,"https://hansard.parliament.uk/Commons/2022-02-04/debates/22020420000008/EssexMentalHealthInquiryIndemnity

21/22 YE -  Update provided - see details on link in Cell T43",Ongoing,G,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",3,1.84," £543,000.00 "," £1,630,000.00 "," £2,717,000.00 ", £-   
503,Employment Tribunal,,,,< £1m,,,,,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Mixed,Increased Legal Liability Costs,Quantifiable,,,Expired,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",,,,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",,76.75, £-   ," £7,000.00 "," £13,000.00 ",
504,NHS Resolution employee liability claim,,,,< £1m,,,,,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Individual or Household,Mixed,Increased Legal Liability Costs,Quantifiable,,,Expired,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",,,,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",,76.75, £-   ," £7,000.00 "," £13,000.00 ",
505,Continuing healthcare,,,,,,,,,Legal Case or Other Dispute Process - Other Dispute Process,Individual or Household,Mixed,Mixed,Increased Legal Liability Costs,Quantifiable,,Included in provisions,Expired,G,2023,Core,,,,,,,Private,,,,,,,,,,76.75,,,,
506,Legal claims,,,,£1m to £5m,,,No,0,Legal Case or Other Dispute Process - Legal Case,Mixed outside Government,Mixed,Mixed,Increased Legal Liability Costs,Quantifiable,,,Expired,G,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",,,,Private,< £1m,£5m to £10m, £-   ," £500,000.00 "," £1,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",,76.75," £13,000.00 "," £39,000.00 "," £65,000.00 ",
507,Legacy Pension Issues,,,"£250,000.00",< £1m,,,,,Uncertain Cost - Uncertain Cost,Individual or Household,Mixed,Mixed,Increased Legal Liability Costs,Quantifiable,,,Expired,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",,,,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",,76.75, £-   ," £7,000.00 "," £13,000.00 ",
508,"Shrewsbury and Telford Hospital Maternity Review, indemnity for DO ",,2028-03-31,"£1,000,000.00",< £1m,,,,,Indemnity - Appointment Indemnity,Individual or Household,Individual or Household,Section Q,Increased Legal Liability Costs,Quantifiable,,,Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",,,,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",,5, £-   ," £100,000.00 "," £200,000.00 ",
509,GP Non Reimbursable property costs,2014-04-01,2100-01-01,"£14,000,000.00",< £1m,10% to 25%,,,,Legal Case or Other Dispute Process - Other Dispute Process,Other Public Body,Mixed,Mixed,Increased Legal Liability Costs,Quantifiable,,,Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.1,0.175,0.25,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",85.75,76.75, £-   ," £7,000.00 "," £13,000.00 "," £2,450,000.00 "
510,Failed Quality Audit on PCR samples ,2023-03-31,2024-03-31,"£1,200,000.00",£1m to £5m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Private Non-financial Corporation,Section C,Section M,Increased Legal Liability Costs,Quantifiable,,,Ongoing,G,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.25,0.375,0.5,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",1,1," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £450,000.00 "
511,Omega failed validation and therefore are not authorised to supply goods to the programme - We have requested a full refund.,2023-03-31,2024-03-31,"£6,000,000.00",£5m to £10m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Private Non-financial Corporation,Section C,Section M,Increased Legal Liability Costs,Quantifiable,Non-remote ALB,,Ongoing,G,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.25,0.375,0.5,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",1,1," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £2,250,000.00 "
512,Contract dispute due to beach of local labour laws,2023-03-31,2024-03-31,"£100,000,000.00",£50m to £100m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Private Non-financial Corporation,Section C,Section M,Increased Legal Liability Costs,Quantifiable,Non-remote ALB,,Ongoing,G,2023,Core," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 ",0.5,0.75,1,Private,£10m to £50m,£50m to £100m," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 "," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 ",1,1," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 "," £75,000,000.00 "
513,Procurement challenege as a result of no adhering to labour laws and failure to detect VOC,2023-03-31,2024-03-31,"£162,000,000.00",£100m to £500m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Private Non-financial Corporation,Section C,Section M,Increased Legal Liability Costs,Quantifiable,Non-remote ALB,,Ongoing,G,2023,Core," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",0.25,0.375,0.5,Private,£50m to £100m,£100m to £500m," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 "," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",1,1," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £60,750,000.00 "
514,Unlicensed CBRN Products,,,,,< 1%,,,,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Section O,Section O,Worsening International Relations,Unquantifiable,Remote ALB,,Expired,G,2023,Core,,,,0,0.005,0.01,Private,,,,,,,,,,76.75,,,,
515,"Indemnity relating to use of a monoclonal antibody, Sotrovimab, developed for the treatment of COVID-19 to bring expired stock back into circulation by relabelling the stock. In order to do this it has become necessary to contract with a third party logistics company, and this creates a small CL. This is because if the third part co-packs the medicine, they are in essence creating a new prodcut with is different to hte product that has been licenced originally by the MHRA.",,,"£817,000.00",< £1m,< 1%,,,,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section C,Section C,Increased Legal Liability Costs,Quantifiable,Remote Core,,Expired,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",,76.75, £-   ," £7,000.00 "," £13,000.00 "," £4,085.00 "
516,"Legal Claim; Civil litigation case against DHSC, DEFRA, DfT, TfL and MoL.",2022-03-21,2025-07-01,"£805,000.00",< £1m,,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Mixed,Mixed,Increased Legal Liability Costs,Quantifiable,Remote Core,,Ongoing,G,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",,,,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",3.28,2.25, £-   ," £222,000.00 "," £444,000.00 ",
517,"NLB is a historic participating employer in the MNRPF. Liability is for any deficit contributions should the fund not be able to meet its future commitments. Potential for further future claims will depend on collection of debt from other participating employers and performance of the scheme.   The actuarial valuation of the Fund as at 31 March 2020 revealed a funding shortfall of £96m.  The funding shortfall was expected to be eliminated by 31 March 2027.  Subsequent valuations will, in normal circumstances, be carried out every three years.  During October 2021 the trustees advised participating employers of two material issues which may add circa £220m to the fund liabilities.  The estimate in February 2022 remains at around £220m.    Pension fund performance will be contingent on stock market investments, due to current climate (Worldwide Coronavirus and Trade/Oil price volatility) the pension fund may not perform as described in order to meet the shortfall.  Ongoing monitoring has shown many employers have withstood the impact of Covid-19 and Brexit well but new strains of Covid-19, cost inflation, macro-economic uncertainty and climate related transition risks are causing additional volatility and longer term risk to the employer covenant. The next triennial actuarial valuation of the MNRPF is due as at 31 March 2023 and the impact of the potential additional liabilities arising from Project Delta, along with the resolution of the Project Greenwich liabilities, will obviously be a major concern for employers.",1979-01-01,2100-04-01,"£2,000,000.00",< £1m,< 1%,772,No,0,Guarantee - Pension Guarantee,Mixed outside Government,Mixed,Mixed,No Exposure to Listed Risks,Unquantifiable,Remote ALB,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",121.25,77, £-   ," £6,000.00 "," £13,000.00 "," £10,000.00 "
518,"A large proportion of NLB's estate is situated on cliff edges or located on rock reefs with affected by rising sea levels.  Regular surveys are carried out to assess the stability of structures and estimate their life span.  The majority of NLB's estate is deemed low risk of cliff erosion or rising sea levels causing catastrophic damage.  However, three sites have been identified as having an increased raised degree of risk that may demand a currently unquantified level of investment. 
1.      Copinsay - The lighthouse is built on an unstable cliff, which we are currently monitoring.  Further deterioration of the cliff face through coastal erosion could result in structural damage.
2.      Firth's Voe - The lighthouse sits on top of a Scheduled Ancient Monument and coastal erosion is creating a cave under the monument and lighthouse by wearing away the existing erosion protection structure and the original strata under the lighthouse. This could result in movement or collapse of the lighthouse before we move it to a new position in circa 2026.
3.      Loch Ryan - The lighthouse is only one metre above sea level. A previous erosion protection system was installed and is now starting to erode and to be undermined, this could lead to movement or collapse of the lighthouse.  
All NLBs lighthouse properties are self-insured, the risks include; liability for AToN failure if not notified to mariners in time to avoid a catastrophic collision with a vessel and the seabed/rock; liability for environmental impact of the failure of the structure, although there may or may not be a legal obligation to return the ruined cliff/beach/seabed back to its original state, there may be a moral obligation to do so and the clean-up exercise could be costly. Furthermore there may be, in an extreme case, an injury caused to a member of staff and/or the public. we have had a report from our Framework Consultant, Fairhurst, looking at sea level rise, wave actin, lightning strikes, etc due to climate change and we have assigned a RAG to all lighthouse stations, where appropriate we will carry out relevant mitigations at future Capital refurbishment projects and continue to monitor for any erosion/deterioration. We are also looking to get a framework contract to undertake regular, 5 yearly drone photogrammetry and 3D Lidar point cloud cliff and station surveys which can then be overlaid to see what level of movement is being experienced so that we can become more proactive in our planning for erosion mitigations.    ",2019-10-25,2120-04-01,"£25,000,000.00",< £1m,1% to 5%,0,No,0,Mixed - Mixed,Individual or Household,Individual or Household,Mixed,Widespread Damage to Property,Unquantifiable,Non-remote ALB,Increased legal liability costs could also influence the liability. ,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",100.43,97, £-   ," £5,000.00 "," £10,000.00 "," £625,000.00 "
519,Under the Master Availability and Reliability Agreement (between DfT and Hitachi (through Agility Trains Ltd)) and the Train Availability and Reliability Agreement (between the train operator and Agility Trains Ltd) there are specific circumstances would be  terminated. There are set for conditions (such as Force Majeure) for this to be engaged and which need to be fulfilled before termination is agreed. The DfT is liable to repay Agility's lenders a set amount using a methodology described in the MARA and TARA.  ,2017-10-20,2044-03-31,"£5,700,000,000.00",> £500m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,Major Economic or Financial Downturn,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",0,0.005,0.01,Private,£100m to £500m,> £500m," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",26.44,21," £23,810,000.00 "," £59,524,000.00 "," £95,238,000.00 "," £28,500,000.00 "
520,"Under the Master Availability and Reliability Agreement (between DfT and Hitachi (through Agility Trains Ltd)) in the event of a change in train design standards, the DfT would be required to negotiate a contractual variation agreement to permit the change to the design of trains so that they are in accordance with the new standards. There is also a wider risk that DfT would have to fund design changes on other rolling stock operating on the network. ",2018-11-01,2044-03-31,"£500,000,000.00",£100m to £500m,5% to 10%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Unquantifiable,Non-remote Core,"Reasonable Worst Case: [Elizabeth Dobson] Given that this CL covers future technological change, which by definition is unnowable because otherwise we would have patented it already before anyone else had chance, it is very difficult to predict the cost",Ongoing,F,2023,Core," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",0.05,0.075,0.1,Private,£50m to £100m,£100m to £500m," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 "," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",25.41,21," £4,762,000.00 "," £14,286,000.00 "," £23,810,000.00 "," £37,500,000.00 "
521,"In the event that a risk that would usually covered by insurance is no longer available to Agility on the worldwide insurance market, and the Secretary of State determines not to terminate the IEP contract, SoS will need to pay Agility Trains Ltd the amount equal to the proceeds that would have been payable if the insurance market had been available. ",2017-10-20,2044-03-31,"£200,000,000.00",£10m to £50m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,Major Economic or Financial Downturn,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",0,0.005,0.01,Private,£5m to £10m,£10m to £50m," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",26.44,21," £476,000.00 "," £1,429,000.00 "," £2,381,000.00 "," £1,000,000.00 "
522,"Non-Executive appointment letters contain the following text: ""In accordance with central policy, the Secretary of State will provide that where the Non-Executive Board Member has acted honestly, reasonably, in good faith and without negligence there will not have to meet out of their own personal resources any personal civil liability which is incurred in execution or purported execution of their board functions."" This is a very remote possibility and the potential liability is based on up to £100k for each NEBM (currently 5) and an additional £200k liability for any previous Non-Executives - totalling £800k.",2009-10-01,2050-10-01,"£800,000.00",< £1m,< 1%,0,No,0,Uncertain Cost - Uncertain Cost,Individual or Household,Individual or Household,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",41,27.5, £-   ," £18,000.00 "," £36,000.00 "," £4,000.00 "
523,"HMRC inspection has indicated the possibility that staff travel benefits have been incorrectly recorded on P11D submissions, leading to an outstanding tax and NI liability plus potential additional fines / interest. This is not over 50% probable as BTP does not agree with the measurement of the liability and is seeking legal advice and challenging through the ADR process.",2019-09-01,2023-07-01,"£350,000.00",< £1m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Other Public Body,UK Government,Section O,Increased Legal Liability Costs,Quantifiable,Non-remote ALB,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.83,0.25, £-   ," £2,000,000.00 "," £4,000,000.00 "," £131,250.00 "
